MMSI,일시,위도,경도,SOG,COG,Heading,거리
2Vxjjs+B8qh+zr5iU5a2YA==,2020-03-10 00:01:10,35.07752,128.808558333333,0.0,305.3,269,23.239720189212324
GIJ16soGSLqWaUHEyCTIaw==,2020-03-10 00:01:10,35.1124483333333,129.458198333333,5.7,219.9,222,36.14455427889476
re8aVtHSGuSR0ORXGufzkw==,2020-03-10 00:01:10,35.0803866666667,129.003856666667,0.4,0.0,511,5.435702875657882
uu30XIvAe9g4uvSQozBJNQ==,2020-03-10 00:01:10,34.9355166666667,129.1052,0.5,188.4,144,16.913226944900508
2Vxjjs+B8qh+zr5iU5a2YA==,2020-03-10 00:01:10,35.07752,128.808558333333,0.0,305.3,269,23.24290509076132
J9/C7dJeuSSHYKqz+eHZ4g==,2020-03-10 00:01:12,35.1318033333333,129.580683333333,1.2,181.6,162,47.47577797491027
bv44fr2kkSVIMCRHkoRhlQ==,2020-03-10 00:01:12,35.0827666666667,128.9932,0.0,128.9,187,6.3842802449712925
c2YvZtQ/z+e0LqCxqJWsNQ==,2020-03-10 00:01:12,35.0997716666667,129.061096666667,0.0,312.5,511,1.7581034521859311
YF+7vaOwMmfy4ptFEYCzFA==,2020-03-10 00:01:12,35.0585283333333,128.982191666667,0.0,0.0,511,7.910514605451218
Na1KG4x44GiA7NoI6rKu+A==,2020-03-10 00:01:14,35.0829616666667,128.99303,0.0,348.7,187,6.399451829320318
bK8F48ndh8Dl9Bu3oieW5A==,2020-03-10 00:01:14,35.0978366666667,129.065375,102.3,360.0,511,1.5481109817085306
Na1KG4x44GiA7NoI6rKu+A==,2020-03-10 00:01:14,35.0829616666667,128.99303,0.0,348.7,187,6.405897406173642
bK8F48ndh8Dl9Bu3oieW5A==,2020-03-10 00:01:14,35.0978366666667,129.065375,102.3,360.0,511,1.5524213151046151
ZRZ3z57nB/VYZ9a8TUFoPg==,2020-03-10 00:01:15,35.05805,129.1781,8.0,238.6,234,10.867550035498692
